species,method,m,A,Jc,Jt,m_dL,m_dS
Chaetodon_Chaetodon_paucifasciatus_-1576082838,human,0.187653395,1.272062093,0.766994307,0.601669767,0.949426509,0.117955567
Chaetodon_Chaetodon_pelewensis_-460781405,human,0.16854387,0.985547601,0.758144232,0.517028118,0.782540384,0.123747184
Chaetodon_Chaetodon_plebeius_-113106721,human,0.202288538,0.817066286,0.71316603,0.615531735,0.786149569,0.179969367
Chaetodon_Chaetodon_punctatofasciatus_1458053428,human,0.16024512,1.092339323,0.656385096,0.611001782,0.978308673,0.118799165
Chaetodon_Chaetodon_rafflesii_497192485,human,0.211975263,1.096274359,0.801324561,0.503952799,0.618838146,0.095181128
Chaetodon_Chaetodon_rainfordi_-805104421,human,0.110054719,1.3728278,0.791167708,0.558951858,0.878032429,0.070064041
Chaetodon_Chaetodon_reticulatus_-2063111040,human,0.253473583,0.92916585,0.624256263,0.857252396,1.129093675,0.221802566
Chaetodon_Chaetodon_selene_-1379331455,human,0.130878032,1.024093155,0.696159989,0.560007757,0.88528482,0.18840674
Chaetodon_Chaetodon_semeion_-1205919593,human,0.118859691,0.924596421,0.664356679,0.734274639,0.844694649,0.196244301
Chaetodon_Chaetodon_semilarvatus_-947886964,human,0.140610795,1.514858978,0.771604454,0.403287505,0.632281587,0.082527984
Chaetodon_Chaetodon_smithi_-756583267,human,0.051154362,1.209275362,0.425349158,0.828139991,1.120289144,0.299487598
Chaetodon_Chaetodon_speculum_65885528,human,0.088051719,1.055986156,0.720611269,0.65563453,0.940375245,0.14454785
Chaetodon_Chaetodon_tinkeri_1959828294,human,0.106677062,1.088731003,0.537502918,0.582151143,0.961851577,0.054649046
Chaetodon_Chaetodon_trichrous_-192591132,human,0.136437702,1.089182242,0.633877292,0.639976841,0.665935675,0.047839881
Chaetodon_Chaetodon_tricinctus_28770837,human,0.110902482,1.556760797,0.54311444,0.540620918,1.00262811,0.099696597
Chaetodon_Chaetodon_trifascialis_-500274613,human,0.208021182,1.123776463,0.705451306,0.694967242,0.966976758,0.133037779
Chaetodon_Chaetodon_trifasciatus_-781709008,human,0.1471875,1.023195876,0.773101555,0.584037893,0.868241897,0.092284603
Chaetodon_Chaetodon_ulietensis_-1430510223,human,0.128990417,1.352820022,0.604965864,0.719686581,0.886628309,0.22532186
Chaetodon_Chaetodon_unimaculatus_-538563321,human,0.105017093,1.342345164,0.672573632,0.631310289,0.948898358,0.083587579
Chaetodon_Chaetodon_vagabundus_397124810,human,0.1540525,1.028942083,0.710963168,0.614183585,0.893682852,0.105164776
Chaetodon_Chaetodon_wiebeli_532247427,human,0.102558095,0.960208242,0.632463037,0.374311288,0.751150884,0.111760665
Chaetodon_Chaetodon_xanthocephalus_-1021247480,human,0.13094018,1.079961765,0.741249308,0.573363903,0.913520463,0.101711572
Chaetodon_Chaetodon_xanthurus_-858508951,human,0.220507479,1.126392935,0.746624658,0.680968457,0.985672729,0.094076374
Chaetodon_Chaetodon_zanzibarensis_-1292827274,human,0.139890774,1.015293719,0.72612165,0.54068259,0.488801066,0.083683598
Chelmon_Chelmon_marginalis_-1899628097,human,0.097780643,1.304869774,0.575369226,0.535083254,0.814934704,0.115702924
Chelmon_Chelmon_muelleri_425540539,human,0.147933556,1.228653403,0.674277489,0.630850004,0.938510004,0.109267174
Chelmon_Chelmon_rostratus_-1060273696,human,0.118810059,1.190444212,0.641360476,0.620440209,0.997349864,0.132929643
Chelmonops_Chelmonops_truncatus_-473926281,human,0.148225782,1.239922962,0.465443583,0.688086779,0.864361776,0.091843414
Coradion_Coradion_altivelis_1025347564,human,0.123344491,1.306107964,0.637899149,0.528642075,0.815279511,0.093159923
Coradion_Coradion_chrysozonus_-1821725095,human,0.116752362,1.261061546,0.734076631,0.555196666,0.948931709,0.174935804
Coradion_Coradion_melanopus_-1537131019,human,0.121227357,1.388661485,0.595729268,0.716353096,1.064437129,0.10806802
Forcipiger_Forcipiger_flavissimus_-1548318421,human,0.07244625,1.232808106,0.508629751,0.747094887,1.151570323,0.368537222
Forcipiger_Forcipiger_longirostris_2122975038,human,0.073407795,1.188925181,0.508307638,0.76832299,1.176577637,0.177563235
Hemitaurichthys_Hemitaurichthys_multispinosus_1514469863,human,0.170157178,0.92165925,0.632563412,0.391394821,0.620076733,0.048616577
Hemitaurichthys_Hemitaurichthys_polylepis_224753564,human,0.079667486,1.071293877,0.699136306,0.743726089,1.098126384,0.193289218
Hemitaurichthys_Hemitaurichthys_zoster_1598828141,human,0.084996515,1.263354744,0.512091035,0.641227821,0.970306748,0.055258724
Heniochus_Heniochus_acuminatus_2027043176,human,0.078285356,1.17976007,0.448294996,0.777045053,1.187053787,0.094372125
Heniochus_Heniochus_chrysostomus_1854375753,human,0.128534291,1.031573838,0.544206572,0.728916604,1.131317511,0.354056646
Heniochus_Heniochus_diphreutes_1453219286,human,0.093531063,1.124909139,0.477762349,0.731537795,1.094432123,0.156618154
Heniochus_Heniochus_intermedius_-20578450,human,0.12436075,0.991886055,0.688513421,0.64912919,0.98813059,0.025930251
Heniochus_Heniochus_monoceros_-980348940,human,0.093574083,1.090013476,0.584690311,0.768555817,1.06262324,0.145657735
Heniochus_Heniochus_pleurotaenia_-1006778558,human,0.113393917,1.246436101,0.465676245,0.660333644,0.892202942,0.112602421
Heniochus_Heniochus_singularius_2065781403,human,0.115182066,0.997755051,0.5652312,0.569559065,1.251136454,0.076306489
Heniochus_Heniochus_varius_2014348865,human,0.126122456,1.040596313,0.555507162,0.611041079,0.950331185,0.079602844
Parachaetodon_Parachaetodon_ocellatus_-506807721,human,0.11235,1.463815789,0.671431683,0.559525717,0.906501556,0.071725781
Roa_Roa_excelsa_853070272,human,0.097426475,1.586040114,0.582457878,0.664822147,0.962168108,0.106986782
Roa_Roa_modestus_316109402,human,0.106054449,1.499397836,0.60249792,0.625203194,0.949211488,0.095671369
Amphichaetodon_Amphichaetodon_howensis_-1464681654,deeplearning,0.084535885,1.590000359,0.398522444,0.61035593,1.017207626,0.080298754
Amphichaetodon_Amphichaetodon_melbae_-1115161976,deeplearning,0.104313056,1.569867307,0.487951925,0.675821367,1.103135513,0.119705359
Chaetodon_Chaetodon_adiergastos_1979529705,deeplearning,0.148557305,0.915714902,0.724322236,0.50294323,0.870000928,0.166204424
Chaetodon_Chaetodon_andamanensis_-322272266,deeplearning,0.123003893,0.635275093,0.737647077,0.463739406,0.60421351,0.081119207
Chaetodon_Chaetodon_argentatus_1074668308,deeplearning,0.143977859,1.090789443,0.492923702,0.735957541,1.096464306,0.212791982
Chaetodon_Chaetodon_aureofasciatus_1459626629,deeplearning,0.1075653,1.099709154,0.698565692,0.481769877,0.884302612,0.078665721
Chaetodon_Chaetodon_auriga_843681634,deeplearning,0.11875,1.060240964,0.71631377,0.520048574,0.828477151,0.250065498
Chaetodon_Chaetodon_auripes_1839596140,deeplearning,0.171992,0.867103792,0.663120794,0.644357693,0.862765632,0.105065302
Chaetodon_Chaetodon_austriacus_-1737564550,deeplearning,0.149724247,0.675808212,0.663946793,0.615019989,0.930380109,0.232148717
Chaetodon_Chaetodon_baronessa_918345433,deeplearning,0.165987548,1.33999779,0.622578154,0.631075769,0.854846664,0.017298536
Chaetodon_Chaetodon_bennetti_711591108,deeplearning,0.103030776,1.010389291,0.657267821,0.591282617,0.791437667,0.180808921
Chaetodon_Chaetodon_blackburnii_300609141,deeplearning,0.096480051,0.967069011,0.531165196,0.617103164,1.002127181,0.067670166
Chaetodon_Chaetodon_citrinellus_-1736280642,deeplearning,0.114584,0.9812567,0.676613277,0.53754369,0.778697829,0.062684589
Chaetodon_Chaetodon_collare_1403678122,deeplearning,0.189829776,1.115924076,0.53379518,0.366226012,0.707732174,0.040514086
